"Alue","Tulonsaajia","Tulot","Mediaanitulot","Ansiotulot","Pääomatulot","Verot","Valtionvero","Kunnallisvero","Tulot_miinus_verot"
"KOKO MAA",4634226,29962,24433,27801,2161,6453,1796,3997,23509
"Akaa",13751,27702,23848,26421,1281,5657,1131,3867,22045
"Alajärvi",8156,23775,19594,21962,1813,4463,913,2985,19312
"Alavieska",2140,24389,20505,22459,1930,4605,966,3038,19784
"Alavus",9908,23917,20125,21981,1937,4436,953,2911,19482
"Asikkala",7147,27254,22062,24447,2807,5561,1487,3454,21693
"Askola",3945,33659,26476,29008,4652,7461,2533,4183,26198
"Aura",3183,28693,26134,27235,1458,5889,1135,4073,22804
"Brändö",450,31794,25075,27725,4068,5949,2285,3054,25844
"Eckerö",879,28671,26057,25954,2717,4997,1452,2985,23674
"Enonkoski",1281,23422,19339,21043,2378,4200,975,2727,19222
"Enontekiö",1726,23045,18643,21451,1594,4331,919,2878,18714
"Espoo",224754,41376,30231,37509,3867,10535,4296,5420,30841
"Eura",10121,28129,24380,26440,1690,5637,1201,3765,22492
"Eurajoki",8479,28779,24921,27110,1669,5346,1329,3354,23433
"Evijärvi",2145,25761,22214,22797,2964,4859,1188,3068,20902
"Finström",2215,30423,26949,27864,2559,5726,1510,3554,24697
"Forssa",15158,25425,21618,24110,1316,4876,927,3371,20550
"Föglö",533,26008,23351,23367,2641,4185,1154,2508,21823
"Geta",430,26546,22950,24666,1881,3981,1065,2413,22565
"Haapajärvi",5931,24324,20675,22699,1625,4722,888,3228,19602
"Haapavesi",5626,24079,20639,22276,1803,4621,916,3123,19459
"Hailuoto",878,27263,23452,24895,2368,5402,1319,3446,21861
"Halsua",1066,22570,19174,20238,2332,4052,899,2615,18517
"Hamina",17711,27352,23692,25994,1357,5675,1120,3890,21677
"Hammarland",1333,28856,26070,27290,1566,4906,1294,3009,23950
"Hankasalmi",4364,23576,19162,21501,2075,4373,906,2917,19203
"Hanko",7670,27969,24569,26767,1203,6100,1139,4291,21869
"Harjavalta",6212,27214,23569,25910,1305,5632,1111,3848,21582
"Hartola",2632,23005,18627,20564,2441,4212,997,2712,18793
"Hattula",7946,30853,26814,28492,2361,6602,1678,4230,24251
"Hausjärvi",6984,29938,25681,27650,2288,6298,1467,4132,23640
"Heinola",17005,26021,21998,24456,1565,5179,1089,3498,20842
"Heinävesi",3135,23206,18582,20640,2566,4187,1054,2619,19020
"Helsinki",549842,36032,27602,32487,3545,8517,3158,4662,27515
"Hirvensalmi",2038,25325,19532,21505,3820,4876,1602,2733,20449
"Hollola",19370,29967,25564,27686,2281,6511,1618,4176,23456
"Honkajoki",1544,23237,18580,21163,2074,4247,913,2785,18990
"Huittinen",8845,26346,22237,23938,2408,5032,1179,3250,21314
"Humppila",2004,24955,21270,22993,1962,4762,930,3216,20193
"Hyrynsalmi",2177,22274,18286,20991,1284,3914,631,2761,18360
"Hyvinkää",39112,31367,26534,29883,1484,6818,1761,4364,24549
"Hämeenkyrö",8797,27631,23695,25642,1989,5691,1241,3830,21940
"Hämeenlinna",57418,29237,24600,27373,1863,6273,1524,4093,22964
"Ii",7405,26308,22914,25042,1266,5131,974,3544,21177
"Iisalmi",18473,26343,22585,24497,1846,5184,1131,3422,21159
"Iitti",5892,27198,22000,24215,2983,5350,1470,3262,21848
"Ikaalinen",6097,25625,21648,23427,2198,5056,1145,3293,20569
"Ilmajoki",9804,27374,24351,25548,1826,5329,1152,3478,22045
"Ilomantsi",4763,22549,18859,21096,1453,3927,688,2712,18623
"Imatra",23852,27032,23186,26024,1007,5462,1067,3752,21570
"Inari",6113,26523,23784,25157,1366,4969,1071,3279,21554
"Inkoo",4649,33889,27232,30834,3055,7804,2374,4642,26085
"Isojoki",1847,24079,19028,21230,2849,4525,1189,2791,19554
"Isokyrö",3923,26164,21743,24289,1875,5119,1082,3387,21045
"Janakkala",13739,29713,25928,27785,1929,6264,1415,4157,23450
"Joensuu",64902,25510,21091,23773,1737,5056,1147,3338,20454
"Jokioinen",4473,27428,23980,25619,1809,5463,1135,3622,21965
"Jomala",4028,33485,31195,31167,2319,6332,1964,3683,27154
"Joroinen",4318,26061,21538,23816,2245,5077,1209,3265,20984
"Joutsa",4155,24082,19891,21540,2542,4481,1080,2853,19601
"Juuka",4409,21943,18290,20177,1767,3780,765,2524,18164
"Juupajoki",1673,26186,21052,23881,2305,5161,1258,3306,21025
"Juva",5672,24637,20352,21696,2941,4355,1195,2625,20282
"Jyväskylä",115586,27987,23044,26113,1874,5822,1473,3728,22165
"Jämijärvi",1662,23202,19804,21407,1795,4297,802,2946,18905
"Jämsä",18333,26941,23054,25437,1504,5547,1153,3777,21394
"Järvenpää",34368,33087,28876,31675,1412,7349,1885,4724,25738
"Kaarina",26564,34390,27729,31196,3195,7884,2508,4677,26506
"Kaavi",2737,22039,17953,20553,1486,3753,712,2576,18286
"Kajaani",31603,26710,23765,25444,1266,5455,1017,3783,21255
"Kalajoki",10420,25394,21889,23639,1754,4659,997,3055,20734
"Kangasala",24937,31537,26674,29379,2158,7096,1844,4536,24441
"Kangasniemi",4904,24297,19729,21586,2711,4503,1173,2792,19795
"Kankaanpää",9929,25171,21202,23659,1512,4953,951,3395,20218
"Kannonkoski",1242,22065,17782,20179,1886,3778,791,2478,18287
"Kannus",4567,25606,22520,24082,1524,4767,906,3231,20839
"Karijoki",1188,24562,20900,22428,2134,4554,977,2976,20008
"Karkkila",7336,27876,24377,26230,1646,5470,1125,3716,22405
"Karstula",3724,22720,18434,20649,2071,3936,893,2522,18784
"Karvia",2174,22268,18461,20425,1842,3634,766,2342,18634
"Kaskinen",1177,27761,23613,26223,1538,6050,1247,4155,21711
"Kauhajoki",11502,24989,20894,23017,1972,4879,1009,3247,20110
"Kauhava",14058,24932,21435,23072,1860,4850,987,3244,20082
"Kauniainen",8007,63150,34623,51357,11793,19197,10632,7460,43954
"Kaustinen",3509,26001,23438,24234,1767,5007,962,3393,20994
"Keitele",2075,23532,19487,21707,1825,4222,873,2792,19310
"Kemi",18356,26194,22652,25445,749,5420,935,3894,20774
"Kemijärvi",6910,24663,21691,23537,1126,4708,757,3349,19955
"Keminmaa",6846,29235,25659,28070,1165,6238,1223,4320,22997
"Kemiönsaari",6071,25559,21107,23406,2153,4690,1080,2980,20869
"Kempele",13101,31985,27267,29795,2190,7168,1875,4538,24817
"Kerava",29812,31766,27844,30503,1263,6829,1693,4427,24937
"Keuruu",8705,25095,21309,23370,1725,4822,998,3229,20273
"Kihniö",1717,22243,18986,20871,1371,3846,642,2687,18397
"Kinnula",1423,22296,17830,20624,1672,3913,785,2588,18383
"Kirkkonummi",31238,38289,29764,35229,3060,9499,3321,5360,28790
"Kitee",9452,23512,19404,21447,2065,4397,933,2930,19115
"Kittilä",5461,27573,24638,26034,1539,5231,1111,3490,22342
"Kiuruvesi",7153,23615,19123,21700,1915,4223,911,2773,19392
"Kivijärvi",1020,21050,17577,19860,1190,3389,530,2371,17661
"Kokemäki",6439,25484,21828,23813,1670,5033,965,3452,20451
"Kokkola",38902,27789,23871,26058,1730,5974,1290,4003,21814
"Kolari",3332,25807,22527,23899,1908,4584,1006,3020,21224
"Konnevesi",2393,24613,20019,22163,2450,4616,1092,2957,19998
"Kontiolahti",11571,28703,26109,26911,1792,5840,1281,3873,22863
"Korsnäs",1898,24821,20639,21999,2822,4499,1178,2729,20322
"Koski Tl",2126,24396,20430,22320,2076,4360,1032,2742,20036
"Kotka",46251,26942,22821,25969,973,5840,1146,4071,21102
"Kouvola",72866,27715,23996,26150,1566,5794,1238,3891,21921
"Kristiinankaupunki",6060,25128,21337,23420,1709,4878,1000,3241,20250
"Kruunupyy",5507,26824,22993,24278,2546,5369,1270,3398,21455
"Kuhmo",7632,23478,19877,21863,1615,4345,772,3009,19133
"Kuhmoinen",2075,23629,18902,21071,2558,4328,1070,2729,19301
"Kumlinge",294,29545,26762,27555,1990,5467,1430,3425,24077
"Kuopio",99294,27930,23419,26253,1677,5819,1386,3790,22112
"Kuortane",3146,24655,20531,22593,2062,4576,1003,2962,20079
"Kurikka",18249,25178,21082,23102,2076,4734,1048,3075,20444
"Kustavi",848,27279,21187,24445,2834,5324,1586,3104,21955
"Kuusamo",13136,24798,21980,23388,1410,4536,869,3071,20262
"Kyyjärvi",1197,23597,19218,21484,2113,4336,1002,2759,19261
"Kärkölä",3829,26705,23196,24915,1790,5355,1068,3656,21350
"Kärsämäki",2198,22482,18796,20817,1665,3945,764,2655,18537
"Kökar",227,27586,24678,26466,1120,4947,1122,3270,22639
"Lahti",101261,27848,22855,26134,1714,5809,1406,3779,22039
"Laihia",6523,29194,25490,27568,1625,6147,1291,4148,23047
"Laitila",7338,26248,22922,24484,1764,5025,1037,3361,21223
"Lapinjärvi",2357,28938,22057,23959,4979,5610,1887,3130,23328
"Lapinlahti",8282,24921,20971,23042,1879,4525,983,2971,20395
"Lappajärvi",2757,23506,19967,21709,1797,4225,846,2817,19282
"Lappeenranta",61628,27678,23449,26146,1532,5843,1297,3916,21835
"Lapua",11801,27149,23435,25040,2109,5432,1213,3534,21717
"Laukaa",14636,28508,24513,26619,1889,6019,1340,4003,22489
"Lemi",2524,27966,23533,25326,2640,5686,1446,3577,22280
"Lemland",1713,32060,29933,30090,1970,5890,1712,3510,26170
"Lempäälä",17551,32542,27356,30351,2191,7397,2024,4634,25145
"Leppävirta",8495,26563,22287,24491,2072,5113,1219,3274,21450
"Lestijärvi",682,22976,19174,20893,2082,4114,903,2654,18861
"Lieksa",10369,22967,19523,21663,1304,4260,728,3009,18707
"Lieto",15518,32248,28051,30052,2196,6915,1866,4313,25333
"Liminka",6637,30742,26719,28753,1988,6778,1670,4338,23964
"Liperi",10062,26192,23442,24578,1614,5170,1004,3540,21022
"Lohja",38785,30775,26240,29117,1658,6612,1593,4308,24163
"Loimaa",14036,25730,21492,23737,1994,4935,1106,3220,20796
"Loppi",6627,27937,24436,25949,1988,5563,1196,3709,22374
"Loviisa",13004,27907,23679,26301,1606,5458,1235,3563,22449
"Luhanka",672,24641,19175,21643,2999,4323,1359,2424,20319
"Lumijoki",1526,25716,21899,24528,1188,5099,1038,3385,20617
"Lumparland",345,30982,27268,29068,1914,5768,1507,3647,25214
"Luoto",3755,27762,24877,26434,1328,5418,1106,3550,22343
"Luumäki",4200,26621,21652,23742,2879,5017,1371,3037,21604
"Maalahti",4774,26556,23290,24886,1670,5249,1091,3473,21308
"Maarianhamina",10716,33839,28563,30366,3473,6879,2420,3835,26960
"Marttila",1727,27036,22116,24498,2539,5258,1376,3221,21779
"Masku",7667,32266,28943,30699,1567,7156,1672,4700,25110
"Merijärvi",876,21413,18421,20026,1386,3565,567,2486,17847
"Merikarvia",2759,24469,19592,22161,2308,4394,1123,2726,20075
"Miehikkälä",1787,23321,18823,20827,2494,4023,1026,2486,19298
"Mikkeli",46729,26968,23038,25008,1960,5457,1260,3572,21511
"Muhos",6750,27431,23884,25789,1642,5489,1200,3625,21942
"Multia",1435,22858,18431,20687,2170,4194,938,2711,18664
"Muonio",1992,27117,24230,24528,2590,5449,1328,3493,21668
"Mustasaari",15649,30974,27342,28949,2024,6743,1627,4314,24231
"Muurame",7753,32509,27631,30198,2311,7127,2006,4359,25381
"Mynämäki",6609,27992,24100,25910,2082,5615,1245,3683,22377
"Myrskylä",1641,26626,22060,24422,2205,5128,1139,3356,21498
"Mäntsälä",16490,30958,27241,29226,1732,6415,1515,4214,24543
"Mänttä-Vilppula",9108,25838,22555,24484,1354,5377,934,3798,20461
"Mäntyharju",5423,24905,20219,22512,2393,4632,1179,2887,20272
"Naantali",16310,34142,26918,30614,3528,7740,2613,4390,26402
"Nakkila",4640,27006,23238,24942,2063,5532,1201,3667,21474
"Nivala",8346,25237,21363,23396,1840,4874,999,3251,20362
"Nokia",26664,30371,26024,28882,1489,6481,1545,4239,23890
"Nousiainen",3857,30033,27300,28117,1917,6205,1380,4106,23828
"Nurmes",6911,22870,19898,21621,1248,4006,656,2809,18864
"Nurmijärvi",33132,35776,30136,33325,2451,8228,2490,4922,27548
"Närpiö",8267,25872,22032,23287,2584,4762,1140,3036,21109
"Orimattila",13343,27642,23236,25556,2086,5502,1270,3578,22140
"Oripää",1139,26288,21458,23384,2904,4849,1375,2866,21439
"Orivesi",7843,26272,22280,24305,1967,5269,1091,3559,21003
"Oulainen",6132,25485,22185,23865,1620,5023,958,3423,20462
"Oulu",162592,29291,24119,27577,1715,6314,1644,4022,22977
"Outokumpu",6053,22957,19058,21708,1250,4341,739,3075,18616
"Padasjoki",2753,24646,20233,21889,2757,4641,1177,2910,20005
"Paimio",8803,30558,26612,28555,2003,6497,1540,4230,24061
"Paltamo",3024,22804,19307,21579,1225,4141,647,2957,18664
"Parainen",13032,30947,25897,28749,2197,6632,1788,4112,24314
"Parikkala",4590,23978,20024,21904,2074,4194,944,2682,19785
"Parkano",5713,24598,20774,22639,1959,4626,944,3092,19972
"Pedersören kunta",8671,26575,23977,24857,1718,5100,1023,3382,21475
"Pelkosenniemi",876,23347,21333,22194,1152,4306,628,3099,19041
"Pello",3225,23975,20557,22728,1247,4174,725,2895,19802
"Perho",2165,23102,19225,21664,1439,4300,764,2941,18803
"Pertunmaa",1612,22834,17132,19746,3089,4103,1195,2432,18731
"Petäjävesi",3207,26082,22230,24218,1863,4994,1041,3332,21088
"Pieksämäki",16357,25024,22035,23306,1719,4991,930,3480,20034
"Pielavesi",4004,22919,18510,20623,2296,4001,945,2548,18918
"Pietarsaari",16620,27439,23804,25919,1519,5852,1226,3944,21587
"Pihtipudas",3551,22882,18811,20914,1968,4041,841,2658,18840
"Pirkkala",15233,35589,28591,32240,3349,8489,2740,4959,27100
"Polvijärvi",3903,22134,17920,20419,1715,3670,748,2428,18464
"Pomarkku",1915,23553,19305,21671,1882,4220,896,2759,19332
"Pori",73130,27252,22819,25761,1490,5432,1223,3589,21819
"Pornainen",3928,32075,28557,30498,1577,6814,1576,4451,25261
"Porvoo",41982,32850,27357,30829,2021,7319,2064,4503,25531
"Posio",3095,21294,17541,20009,1285,3692,631,2569,17602
"Pudasjärvi",6922,21910,18178,20809,1102,3650,602,2553,18261
"Pukkila",1652,27440,23660,25692,1748,5578,1157,3750,21862
"Punkalaidun",2655,23606,18930,21223,2383,4456,1083,2828,19149
"Puolanka",2465,21508,18161,20221,1288,3673,586,2583,17836
"Puumala",2070,25114,20300,21515,3600,4766,1436,2765,20348
"Pyhtää",4488,31540,24341,27334,4206,6919,2284,3939,24621
"Pyhäjoki",2654,25905,22014,24384,1521,4959,1015,3305,20946
"Pyhäjärvi",4657,24282,19807,22645,1637,4539,878,3083,19743
"Pyhäntä",1264,24867,21466,22836,2031,4529,1077,2851,20338
"Pyhäranta",1752,29494,25278,26750,2744,6257,1551,3994,23238
"Pälkäne",5697,26565,22322,24155,2410,5209,1272,3312,21356
"Pöytyä",7021,26702,22805,24368,2333,5196,1203,3359,21505
"Raahe",20325,28008,24576,26063,1944,5965,1305,3958,22042
"Raasepori",23904,28584,24112,26195,2389,6193,1477,4052,22391
"Raisio",20629,30040,25762,28234,1806,6303,1566,4089,23737
"Rantasalmi",3270,22926,18832,20836,2090,3987,876,2610,18939
"Ranua",3326,22420,18137,20602,1819,3749,825,2431,18671
"Rauma",35511,30039,24712,28405,1634,6400,1657,4098,23638
"Rautalampi",2839,23349,19319,21628,1721,4464,926,3000,18885
"Rautavaara",1538,21114,16403,19709,1404,3523,692,2364,17591
"Rautjärvi",3127,24589,20992,23330,1258,4686,866,3195,19902
"Reisjärvi",2320,23500,20156,21757,1742,4389,838,2970,19110
"Riihimäki",24275,29343,25566,28175,1168,6174,1320,4183,23169
"Ristijärvi",1211,24201,19694,22268,1933,4476,953,2961,19725
"Rovaniemi",51940,27578,24111,26144,1434,5736,1220,3903,21842
"Ruokolahti",4536,27512,23731,25788,1724,5610,1226,3708,21902
"Ruovesi",4049,24529,20161,22334,2194,4783,1032,3178,19746
"Rusko",4954,32414,27937,29912,2502,6979,1897,4320,25435
"Rääkkylä",2036,21449,17105,19090,2359,3712,897,2370,17737
"Saarijärvi",8218,24086,19892,22179,1907,4496,911,3026,19590
"Salla",3361,21987,18966,20755,1232,3725,599,2611,18262
"Salo",45290,26843,22380,25004,1839,5344,1208,3534,21500
"Saltvik",1621,30098,27743,27508,2590,5141,1471,3046,24956
"Sastamala",21149,26275,21970,24136,2139,5123,1192,3318,21152
"Sauvo",2596,29450,24153,26252,3199,6149,1715,3775,23301
"Savitaipale",3121,24839,20431,22432,2406,4728,1124,3014,20111
"Savonlinna",30742,25124,21359,23557,1567,5168,973,3620,19956
"Savukoski",946,22759,19312,21200,1559,4169,735,2864,18590
"Seinäjoki",50993,28872,25230,26944,1928,6148,1418,4011,22724
"Sievi",3734,29208,20293,22993,6216,6272,2434,3229,22936
"Siikainen",1310,22214,17705,19820,2394,3827,917,2429,18387
"Siikajoki",4226,26832,21641,23369,3463,5553,1558,3372,21278
"Siikalatva",4738,23065,19215,21450,1614,4200,764,2887,18864
"Siilinjärvi",17315,29910,26675,28239,1671,6413,1403,4326,23497
"Simo",2671,26387,22929,25250,1137,5380,943,3801,21008
"Sipoo",16337,36799,29818,33987,2811,8608,2805,4986,28191
"Siuntio",4891,35684,29208,33008,2676,8620,2514,5276,27064
"Sodankylä",7636,26355,23280,25120,1236,5005,991,3396,21351
"Soini",1846,22638,17988,20217,2421,4125,993,2604,18513
"Somero",7744,25728,21375,23461,2267,4759,1184,2980,20968
"Sonkajärvi",3646,23009,18998,21226,1783,3954,783,2641,19056
"Sotkamo",8934,27408,23059,25213,2195,5549,1311,3589,21859
"Sottunga",92,37113,22829,28670,8443,8324,4013,3659,28788
"Sulkava",2415,22485,18439,20122,2363,4057,943,2598,18428
"Sund",898,29729,27060,28169,1561,5461,1191,3612,24268
"Suomussalmi",7262,23040,19753,21930,1109,3971,628,2812,19069
"Suonenjoki",6262,24513,20894,22703,1810,4655,905,3182,19858
"Sysmä",3548,23862,18809,20894,2968,4149,1214,2416,19713
"Säkylä",6087,28068,24638,26195,1873,5859,1206,3958,22209
"Taipalsaari",3989,30092,25993,27646,2446,6523,1689,4117,23569
"Taivalkoski",3536,22697,19223,21579,1119,3897,633,2730,18800
"Taivassalo",1457,29369,22453,24855,4515,6042,2036,3375,23327
"Tammela",5288,27937,23682,25369,2568,5573,1424,3479,22363
"Tampere",196295,28929,23165,26953,1976,6144,1685,3849,22786
"Tervo",1458,22546,18169,20432,2114,3770,841,2415,18777
"Tervola",2662,24702,20276,23450,1253,4503,925,2975,20200
"Teuva",4594,23698,19603,22051,1646,4441,829,3038,19257
"Tohmajärvi",4015,23970,19374,21125,2845,4510,1134,2846,19460
"Toholampi",2589,24114,20787,22245,1869,4547,908,3028,19567
"Toivakka",1972,26701,22578,24750,1951,5168,1145,3394,21533
"Tornio",18192,28296,24180,26682,1615,5940,1296,3989,22356
"Turku",164223,28107,22403,26034,2073,5759,1600,3599,22348
"Tuusniemi",2348,22351,18427,20592,1759,3956,768,2708,18395
"Tuusula",31422,35979,30036,33724,2254,8375,2536,5027,27604
"Tyrnävä",4663,26890,24062,25675,1214,5224,1003,3522,21666
"Ulvila",10975,28193,24432,26721,1472,5957,1251,4008,22236
"Urjala",4219,24607,20197,22451,2156,4713,1053,3085,19894
"Utajärvi",2392,23198,18671,21549,1648,4125,854,2708,19072
"Utsjoki",1102,26689,22916,24419,2269,5291,1337,3363,21398
"Uurainen",2797,26615,22691,24899,1716,5038,1086,3330,21577
"Uusikaarlepyy",6280,27046,23230,24128,2918,5338,1343,3324,21708
"Uusikaupunki",13515,28552,25111,26593,1959,5870,1300,3900,22682
"Vaala",2663,23169,19471,21419,1749,4290,845,2896,18879
"Vaasa",56987,28829,23978,27191,1637,6101,1512,3925,22728
"Valkeakoski",17645,28536,24820,27189,1347,5853,1273,3886,22684
"Valtimo",1967,22410,18345,20638,1772,3886,783,2581,18524
"Vantaa",184265,32060,27757,30506,1554,6917,1877,4374,25143
"Varkaus",18538,26102,22027,24982,1120,5317,1008,3705,20786
"Vehmaa",1996,25974,22695,24075,1900,5033,981,3444,20941
"Vesanto",1920,22317,18168,20244,2072,3828,833,2484,18489
"Vesilahti",3475,30186,25328,28097,2089,6509,1641,4149,23677
"Veteli",2797,24516,21295,22719,1797,4689,888,3176,19827
"Vieremä",3157,25531,20182,22198,3332,4873,1381,2903,20658
"Vihti",23442,33221,28424,31417,1804,7494,1995,4736,25727
"Viitasaari",5785,23452,19739,21706,1746,4184,821,2833,19268
"Vimpeli",2566,24610,21172,23032,1578,4859,873,3372,19751
"Virolahti",2797,24752,20840,22983,1769,4442,933,2935,20311
"Virrat",6079,24364,20088,22111,2252,4532,1058,2915,19832
"Vårdö",392,28214,24884,25990,2224,4910,1260,3065,23303
"Vöyri",5616,26499,23171,24056,2443,5143,1180,3279,21356
"Ylitornio",3804,24015,19629,22463,1551,4061,850,2677,19954
"Ylivieska",12048,27112,24022,25169,1943,5589,1166,3730,21523
"Ylöjärvi",25508,31218,26606,28979,2239,6827,1770,4320,24390
"Ypäjä",2049,25689,21516,23655,2034,5021,1100,3293,20668
"Ähtäri",5143,24514,21065,22890,1624,4797,874,3317,19717
"Äänekoski",16736,26294,22164,24596,1698,5366,1125,3642,20928
